"","x"
"1","10.1098/rstb.2016.0185"
"2","10.1101/sqb.2001.66.249"
"3","10.1093/nar/gky346"
"4","10.1002/ange.201001436"
"5","10.1002/ange.201703216"
"6","10.1073/pnas.0705988104"
"7","10.1016/j.jmb.2004.03.024"
"8","10.1038/s41467-023-40404-9"
"9","10.1261/rna.079850.123"
"10","10.1126/science.1060612"
"11","10.1016/s1097-2765(01)00356-2"
"12","10.2139/ssrn.4157121"
"13","10.1038/nsmb.2545"
"14","10.1016/j.jmb.2014.04.029"
"15","10.1016/j.jmb.2007.08.054"
"16","10.1002/cmdc.202200497"
"17","10.1016/j.tibs.2016.06.001"
"18","10.1038/ncomms6151"
"19","10.4161/15476286.2014.992281"
"20","10.1186/1745-6150-2-24"
"21","10.1146/annurev.biochem.73.030403.080419"
"22","10.1261/rna.079019.121"
"23","10.1186/s13059-022-02674-2"
"24","10.1016/j.pharmthera.2012.07.007"
"25","10.1134/s0026893308020131"
"26","10.1111/j.1742-4658.2005.04651.x"
"27","10.1101/sqb.2001.66.43"
"28","10.1073/pnas.0810953105"
"29","10.1371/journal.pone.0005773"
"30","10.1007/s10545-013-9602-6"
"31","10.1016/j.biosystems.2014.12.001"
"32","10.1016/j.molbiopara.2012.11.001"
"33","10.1093/nar/gkt742"
"34","10.1111/j.1742-4658.2011.08363.x"
"35","10.1038/s41467-021-24881-4"
"36","10.3390/molecules22091427"
"37","10.1074/jbc.m206295200"
"38","10.1134/s0006297921090066"
"39","10.1016/j.jmb.2006.11.046"
"40","10.1002/cbic.200300657"
"41","10.1021/acs.jpcb.5b08876"
"42","10.1016/j.bmcl.2010.10.001"
"43","10.1146/annurev.biochem.74.061903.155440"
"44","10.1016/j.mib.2009.09.004"
"45","10.3390/ijms22031335"
"46","10.4061/2011/130581"
"47","10.1261/rna.1681609"
"48","10.1101/sqb.2006.71.036"
"49","10.1016/j.drudis.2006.09.001"
"50","10.1021/bi5000355"
"51","10.1002/cbic.200700387"
"52","10.1073/pnas.1721431115"
"53","10.15252/embj.2019103365"
"54","10.1074/jbc.m610887200"
"55","10.1074/jbc.m109.062745"
"56","10.1007/s11171-005-0036-2"
"57","10.1016/j.jmb.2014.10.027"
"58","10.1016/j.biochi.2015.02.021"
"59","10.1007/s00018-016-2160-y"
"60","10.1261/rna.2475211"
"61","10.1038/nsmb.1755"
"62","10.1021/jp400084p"
"63","10.1016/j.cell.2006.08.032"
"64","10.1093/nar/gky081"
"65","10.1002/jcc.10173"
"66","10.1016/j.tet.2006.08.107"
"67","10.1128/jb.02579-14"
"68","10.1261/rna.054486.115"
"69","10.1093/nar/gkz760"
"70","10.1016/j.sbi.2012.07.016"
"71","10.1002/1873-3468.13915"
"72","10.1093/pcp/pcg061"
"73","10.1016/j.molcel.2008.09.012"
"74","10.1038/nsmb1104-1026"
"75","10.1038/nsmb.3505"
"76","10.1016/j.str.2008.01.007"
"77","10.1016/j.biochi.2010.02.031"
"78","10.1016/s0022-2836(03)00174-8"
"79","10.1093/nar/gkad194"
"80","10.1126/science.1111771"
"81","10.1016/j.jtbi.2016.08.011"
"82","10.1016/s0960-894x(02)00759-x"
"83","10.1261/rna.2132503"
"84","10.1186/1471-2105-9-178"
"85","10.1073/pnas.1105714108"
"86","10.1016/j.jmb.2008.09.012"
"87","10.1099/vir.0.042499-0"
"88","10.1016/j.bpj.2010.10.026"
"89","10.1002/cbic.200300689"
"90","10.1261/rna.2232710"
"91","10.1021/acs.nanolett.5b03331"
"92","10.1002/cbic.200900268"
"93","10.1261/rna.5120503"
"94","10.1038/nsmb.2869"
"95","10.1042/ba20080266"
"96","10.1073/pnas.1620982114"
"97","10.1038/srep35793"
"98","10.1016/j.bioorg.2022.105824"
"99","10.1038/nature20560"
"100","10.1016/j.cell.2014.04.015"
"101","10.2323/jgam.59.105"
"102","10.7554/elife.48847"
"103","10.1146/annurev.biochem.72.110601.135450"
"104","10.1016/j.bioorg.2004.11.001"
"105","10.1261/rna.041681.113"
"106","10.1073/pnas.1406335111"
"107","10.1261/rna.2241810"
"108","10.1261/rna.7142404"
"109","10.1261/rna.068460.118"
"110","10.1111/j.1365-2958.2006.05063.x"
"111","10.1111/j.1432-1033.2004.04016.x"
"112","10.1515/bc.2005.141"
"113","10.1016/j.bmcl.2022.128989"
"114","10.1080/07391102.2018.1462731"
"115","10.1261/rna.035287.112"
"116","10.1021/cb8002946"
"117","10.1128/aac.01096-06"
"118","10.1016/j.jbc.2021.100555"
"119","10.1134/s1068162008060071"
"120","10.1073/pnas.0503456102"
"121","10.1016/j.jmb.2021.167440"
"122","10.3389/fmicb.2014.00170"
"123","10.1261/rna.046953.114"
"124","10.1261/rna.078863.121"
"125","10.1126/science.1217039"
"126","10.1126/science.1194460"
"127","10.1098/rstb.2016.0187"
"128","10.1038/nature10913"
"129","10.1016/j.cell.2009.02.009"
"130","10.1128/jb.184.16.4594-4600.2002"
