"cited","citing"
"10.1038/nature19791","10.1096/fj.201801909r"
"10.1038/nature19791","10.1002/ange.201901572"
"10.1038/nature19791","10.1021/acs.langmuir.7b03617"
"10.1038/nature19791","10.1038/nchembio.2380"
"10.1038/nature19791","10.1016/j.str.2020.04.005"
"10.1038/nature19791","10.1021/acs.jcim.7b00677"
"10.1038/nature19791","10.1016/j.jmb.2021.167160"
"10.1038/nature19791","10.1002/adma.201804971"
"10.1038/nature19791","10.1038/s41598-017-05037-1"
"10.1038/nature19791","10.3389/fimmu.2022.999034"
"10.1038/nature19791","10.1039/c7sc03956e"
"10.1038/nature19791","10.1002/advs.202104012"
"10.1038/nature19791","10.1021/acs.jpclett.2c02385"
"10.1038/nature19791","10.1021/acs.biochem.9b00065"
"10.1038/nature19791","10.1021/acs.biochem.8b00940"
"10.1038/nature19791","10.7554/elife.32955"
"10.1038/nature19791","10.1038/s41467-022-29210-x"
"10.1038/nature19791","10.1186/s12870-018-1361-y"
"10.1038/nature19791","10.1039/c9cc07898c"
"10.1038/nature19791","10.1021/acs.biochem.7b00722"
"10.1038/nature19791","10.1021/acs.biochem.7b00375"
"10.1038/nature19791","10.1039/d1md00098e"
"10.1038/nature19791","10.1016/j.crstbi.2021.02.002"
"10.1038/nature19791","10.1016/j.matt.2019.09.013"
"10.1038/nature19791","10.1021/jacs.2c04620"
"10.1038/nature19791","10.1021/jacs.2c00216"
"10.1038/nature19791","10.1186/s40580-021-00294-3"
"10.1038/nature19791","10.1093/protein/gzab007"
"10.1038/nature19791","10.1093/protein/gzz016"
"10.1038/nature19791","10.1093/protein/gzz009"
"10.1038/nature19791","10.1093/protein/gzy028"
"10.1038/nature19791","10.1016/j.biotechadv.2022.108032"
"10.1038/nature19791","10.1002/macp.202200103"
"10.1038/nature19791","10.1002/pro.4368"
"10.1038/nature19791","10.1002/pro.3974"
"10.1038/nature19791","10.1002/pro.3758"
"10.1038/nature19791","10.1002/pro.3721"
"10.1038/nature19791","10.1002/pro.3601"
"10.1038/nature19791","10.1038/s41467-021-27222-7"
"10.1038/nature19791","10.1038/s41467-017-02098-8"
"10.1038/nature19791","10.3390/info8010029"
"10.1038/nature19791","10.1016/j.bcp.2020.114291"
"10.1038/nature19791","10.1038/s41524-020-0288-7"
"10.1038/nature19791","10.1002/pro.3453"
"10.1038/nature19791","10.1002/pro.3313"
"10.1038/nature19791","10.1021/acs.analchem.8b01556"
"10.1038/nature19791","10.1021/acs.analchem.8b01624"
"10.1038/nature19791","10.1002/anie.201901572"
"10.1038/nature19791","10.1002/anie.201813827"
"10.1038/nature19791","10.1016/j.molliq.2021.116537"
"10.1038/nature19791","10.1021/jacs.1c04378"
"10.1038/nature19791","10.1039/d0cb00062k"
"10.1038/nature19791","10.1073/pnas.2116097119"
"10.1038/nature19791","10.1002/syst.202000025"
"10.1038/nature19791","10.1016/j.gce.2022.07.010"
"10.1038/nature19791","10.1093/bib/bbad289"
"10.1038/nature19791","10.1126/science.abj7662"
"10.1038/nature19791","10.1088/1361-6633/ac78ef"
"10.1038/nature19791","10.1016/j.sbi.2020.10.015"
"10.1038/nature19791","10.1002/anie.201801361"
"10.1038/nature19791","10.1016/j.bmcl.2022.128806"
"10.1038/nature19791","10.1038/s41467-021-23609-8"
"10.1038/nature19791","10.1002/1873-3468.13796"
"10.1038/nature19791","10.1002/1873-3468.13444"
"10.1038/nature19791","10.1021/acs.jmedchem.0c02159"
"10.1038/nature19791","10.1039/c7cc09142g"
"10.1038/nature19791","10.1002/pro.4908"
"10.1038/nature19791","10.1016/j.tibs.2019.12.008"
"10.1038/nature19791","10.1016/j.sbi.2020.04.006"
"10.1038/nature19791","10.1016/j.sbi.2017.03.012"
"10.1038/nature19791","10.1016/j.bmcl.2021.127852"
"10.1038/nature19791","10.1021/jacs.9b11617"
"10.1038/nature19791","10.1021/acs.jmedchem.0c01500"
"10.1038/nature19791","10.1021/acs.jmedchem.0c00303"
"10.1038/nature19791","10.1073/pnas.2102164118"
"10.1038/nature19791","10.1073/pnas.2102168118"
"10.1038/nature19791","10.1016/j.bpj.2024.01.029"
"10.1038/nature19791","10.4155/tde-2017-0020"
"10.1038/nature19791","10.1021/acs.joc.0c01600"
"10.1038/nature19791","10.1080/17460441.2021.1961740"
"10.1038/nature19791","10.1080/17460441.2021.1918097"
"10.1038/nature19791","10.1080/17460441.2020.1751117"
"10.1038/nature19791","10.1080/17460441.2019.1552936"
"10.1038/nature19791","10.1080/17460441.2018.1465922"
"10.1038/nature19791","10.1080/17460441.2018.1445085"
"10.1038/nature19791","10.1080/17460441.2017.1317243"
"10.1038/nature19791","10.1073/pnas.2021569118"
"10.1038/nature19791","10.1073/pnas.2012800118"
"10.1038/nature19791","10.1073/pnas.2017228118"
"10.1038/nature19791","10.1039/c7cc90258a"
"10.1038/nature19791","10.1073/pnas.2206240119"
"10.1038/nature19791","10.1080/07391102.2019.1682051"
"10.1038/nature19791","10.1021/acscentsci.8b00912"
"10.1038/nature19791","10.1016/j.jsb.2018.02.004"
"10.1038/nature19791","10.1016/j.jsb.2017.09.001"
"10.1038/nature19791","10.1002/ange.201813827"
"10.1038/nature19791","10.1038/s41587-020-0577-1"
"10.1038/nature19791","10.1002/cbic.202100450"
"10.1038/nature19791","10.18359/rfcb.5434"
"10.1038/nature19791","10.1016/j.xphs.2020.12.041"
"10.1038/nature19791","10.1021/acs.accounts.7b00186"
"10.1038/nature19791","10.1021/acs.jpcb.8b10649"
"10.1038/nature19791","10.1021/acschemneuro.1c00567"
"10.1038/nature19791","10.1039/c9ra02137j"
"10.1038/nature19791","10.1038/s41467-020-20549-7"
"10.1038/nature19791","10.1021/acs.jmedchem.8b00378"
"10.1038/nature19791","10.1016/j.cclet.2022.107871"
"10.1038/nature19791","10.1126/science.aau3775"
"10.1038/nature19791","10.1039/d2sc00924b"
"10.1038/nature19791","10.1016/j.biomaterials.2017.02.023"
"10.1038/nature19791","10.1021/acsnano.0c09509"
"10.1038/nature19791","10.1002/anie.201611914"
"10.1038/nature19791","10.1021/acs.joc.9b00164"
"10.1038/nature19791","10.1021/jacs.8b11246"
"10.1038/nature19791","10.3390/v13102047"
"10.1038/nature19791","10.1038/s41467-023-41717-5"
"10.1038/nature19791","10.1039/d1sc02952e"
"10.1038/nature19791","10.1039/d1sc00692d"
"10.1038/nature19791","10.1039/d1sc01031j"
"10.1038/nature19791","10.1002/anie.201702472"
"10.1038/nature19791","10.1021/jacs.8b10082"
"10.1038/nature19791","10.3389/fnmol.2019.00054"
"10.1038/nature19791","10.1021/acs.jnatprod.1c00672"
"10.1038/nature19791","10.1038/nature23912"
"10.1038/nature19791","10.1126/science.aap7577"
"10.1038/nature19791","10.1126/science.aap9608"
"10.1038/nature19791","10.1016/j.bmc.2020.115896"
"10.1038/nature19791","10.1073/pnas.1914982117"
"10.1038/nature19791","10.1021/acs.jnatprod.8b00521"
"10.1038/nature19791","10.1515/hsz-2018-0348"
"10.1038/nature19791","10.1021/acs.jctc.3c01054"
"10.1038/nature19791","10.1126/science.aan0693"
"10.1038/nature19791","10.1111/febs.14394"
"10.1038/nature19791","10.1098/rsif.2018.0472"
"10.1038/nature19791","10.1016/j.ddtec.2017.11.007"
"10.1038/nature19791","10.1021/acs.jcim.1c00453"
"10.1038/nature19791","10.1515/psr-2020-0125"
"10.1038/nature19791","10.1021/acsbiomedchemau.2c00008"
"10.1038/nature19791","10.1038/s41594-021-00649-8"
"10.1038/nature19791","10.1038/s41594-018-0141-6"
"10.1038/nature19791","10.1038/s41594-018-0033-9"
"10.1038/nature19791","10.1074/jbc.ra118.004146"
"10.1038/nature19791","10.1016/j.biotechadv.2018.10.011"
"10.1038/nature19791","10.1021/acs.chemrev.0c01087"
"10.1038/nature19791","10.1002/chem.202101201"
"10.1038/nature19791","10.1021/acs.jcim.8b00375"
"10.1038/nature19791","10.1021/acs.jcim.8b00267"
"10.1038/nature19791","10.1016/j.csbj.2022.08.070"
"10.1038/nature19791","10.1073/pnas.2206111119"
"10.1038/nature19791","10.1038/nature19946"
"10.1038/nature19791","10.1039/d3cc04630c"
"10.1038/nature19791","10.1039/c7sc05163h"
"10.1038/nature19791","10.1021/acsomega.0c02574"
"10.1038/nature19791","10.1016/j.bbagen.2020.129633"
"10.1038/nature19791","10.1103/physrevresearch.6.013162"
"10.1038/nature19791","10.1002/wcms.1374"
