"doi","container.title","title","author","type","publisher"
"10.1038/nature19791","Nature","Accurate de novo design of hyperstable constrained peptides","Gaurav","journal-article","Springer Science and Business Media LLC"
"10.1073/pnas.71.10.4135","Proceedings of the National Academy of Sciences","Kinetic Proofreading: A New Mechanism for Reducing Errors in Biosynthetic Processes Requiring High Specificity","J. J.","journal-article","Proceedings of the National Academy of Sciences"
"10.1096/fj.201801909r","The FASEB Journal","Where cone snails and spiders meet: design of small cyclic sodium‐channel inhibitors","Steve","journal-article","Wiley"
"10.1002/ange.201901572","Angewandte Chemie","Anchor Residues Guide Form and Function in Grafted Peptides","http://orcid.org/0000-0002-7583-4961","journal-article","Wiley"
"10.1021/acs.langmuir.7b03617","Langmuir","Inhibition of β-Amyloid Aggregation through a Designed β-Hairpin Peptide","http://orcid.org/0000-0001-7835-7921","journal-article","American Chemical Society (ACS)"
"10.1038/nchembio.2380","Nature Chemical Biology","Engineering protein stability with atomic precision in a monomeric miniprotein","http://orcid.org/0000-0002-1593-5525","journal-article","Springer Science and Business Media LLC"
"10.1016/j.str.2020.04.005","Structure","Computationally Designed Cyclic Peptides Derived from an Antibody Loop Increase Breadth of Binding for Influenza Variants","http://orcid.org/0000-0002-2380-2861","journal-article","Elsevier BV"
"10.1021/acs.jcim.7b00677","Journal of Chemical Information and Modeling","TetraBASE: A Side Chain-Independent Statistical Energy for Designing Realistically Packed Protein Backbones","http://orcid.org/0000-0002-9883-8850","journal-article","American Chemical Society (ACS)"
"10.1016/j.jmb.2021.167160","Journal of Molecular Biology","A Brief History of De Novo Protein Design: Minimal, Rational, and Computational","Derek N.","journal-article","Elsevier BV"
"10.1002/adma.201804971","Advanced Materials","Programmable Construction of Peptide‐Based Materials in Living Subjects: From Modular Design and Morphological Control to Theranostics","http://orcid.org/0000-0002-9793-3995","journal-article","Wiley"
"10.1038/s41598-017-05037-1","Scientific Reports","Lybatides from Lycium barbarum Contain An Unusual Cystine-stapled Helical Peptide Scaffold","Wei Liang","journal-article","Springer Science and Business Media LLC"
"10.3389/fimmu.2022.999034","Frontiers in Immunology","Hallucinating structure-conditioned antibody libraries for target-specific binders","Sai Pooja","journal-article","Frontiers Media SA"
"10.1039/c7sc03956e","Chemical Science","<i>De novo</i> design of constrained and sequence-independent peptide scaffolds with topologically-formidable disulfide connectivities","Yiwu","journal-article","Royal Society of Chemistry (RSC)"
"10.1002/advs.202104012","Advanced Science","Protein Nanoparticles: Uniting the Power of Proteins with Engineering Design Approaches","Nahal","journal-article","Wiley"
"10.1021/acs.jpclett.2c02385","The Journal of Physical Chemistry Letters","Computational Design of Extraordinarily Stable Peptide Structures through Side-Chain-Locked Knots","http://orcid.org/0000-0002-1269-7576","journal-article","American Chemical Society (ACS)"
"10.1021/acs.biochem.9b00065","Biochemistry","Diversifying Constrained Peptide Scaffolds: How To Truss Up a Bundle Really Tight","http://orcid.org/0000-0001-8492-1162","journal-article","American Chemical Society (ACS)"
